{ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0},
{ 2, 0, 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 33, 0, 18},
{ 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 397, 0, 0, 0, 150, 10},
{ 47, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 847, 0, 0, 0, 120},
{ 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1869, 0, 101, 46},
{ 43, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5397, 0, 268},
{ 266, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12812, 229},
{ 83, 97, 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43525},
{ 10027, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6982, 0, 3521, 1821},
{ 115, 10093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7001, 0, 4427},
{ 168, 0, 7481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7172, 601},
{ 86, 70, 0, 5334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6181},
{ 211, 0, 0, 0, 3149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 483, 57},
{ 46, 204, 0, 0, 0, 2076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 352},
{ 32, 0, 54, 0, 0, 0, 1101, 0, 0, 0, 0, 0, 0, 0, 0, 12},
{ 16, 3, 0, 115, 0, 0, 0, 738, 0, 0, 0, 0, 0, 0, 0, 0},
